,Country Name,Country Code,Indicator Name,Indicator Code,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012,2017,2018
41,"Congo, Dem. Rep.",COD,Net migration,SM.POP.NETM,122650.0,241910.0,27450.0,100685.0,-446860.0,74515.0,1302404.0,-1006384.0,-241564.0,-43426.0,15060.0,119303.0,0.0
42,"Congo, Rep.",COG,Net migration,SM.POP.NETM,0.0,500.0,6944.0,-7407.0,2098.0,2000.0,22530.0,49302.0,49674.0,95864.0,-60001.0,-20003.0,0.0
43,Colombia,COL,Net migration,SM.POP.NETM,-253998.0,-281000.0,-289998.0,-286998.0,-273997.0,-254001.0,-223998.0,-190000.0,-159003.0,-143000.0,-144998.0,-147004.0,0.0
44,Comoros,COM,Net migration,SM.POP.NETM,-8491.0,-5500.0,-5500.0,10000.0,-4500.0,-4500.0,-3000.0,-6000.0,-10000.0,-10000.0,-10000.0,-10000.0,0.0
45,Cabo Verde,CPV,Net migration,SM.POP.NETM,-1167.0,4267.0,-34907.0,-27982.0,-20313.0,-27757.0,-6376.0,-5438.0,-9859.0,-17623.0,-11052.0,-7392.0,0.0
46,Costa Rica,CRI,Net migration,SM.POP.NETM,7905.0,7827.0,12638.0,17425.0,18876.0,17417.0,69202.0,89527.0,41792.0,30339.0,19658.0,16384.0,0.0
47,Caribbean small states,CSS,Net migration,SM.POP.NETM,-261752.0,-298953.0,-281348.0,-271658.0,-272660.0,-343135.0,-223696.0,-207745.0,-159808.0,-142162.0,-120217.0,-119655.0,0.0
48,Cuba,CUB,Net migration,SM.POP.NETM,-205000.0,-250000.0,-190000.0,-160000.0,-270000.0,-69999.0,-120006.0,-132839.0,-145629.0,-178725.0,-73271.0,-109998.0,0.0
49,Curacao,CUW,Net migration,SM.POP.NETM,-7752.0,-4526.0,-5000.0,-13251.0,-8464.0,-14547.0,-11517.0,-17077.0,-6070.0,15363.0,6817.0,2573.0,0.0
50,Cayman Islands,CYM,Net migration,SM.POP.NETM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Cyprus,CYP,Net migration,SM.POP.NETM,-43025.0,-7843.0,3053.0,-1215.0,-27634.0,17167.0,43195.0,53260.0,57530.0,58658.0,22509.0,25001.0,0.0
52,Czech Republic,CZE,Net migration,SM.POP.NETM,24999.0,-129099.0,9999.0,9999.0,-52946.0,5671.0,29999.0,46002.0,47402.0,250889.0,59997.0,59997.0,0.0
53,Germany,DEU,Net migration,SM.POP.NETM,666962.0,867574.0,714153.0,228894.0,23.0,1714683.0,2659698.0,695914.0,804608.0,43087.0,1777126.0,1850000.0,0.0
54,Djibouti,DJI,Net migration,SM.POP.NETM,18000.0,25000.0,34997.0,91193.0,9999.0,89998.0,-45000.0,9988.0,-8997.0,-1499.0,6002.0,4501.0,0.0
55,Dominica,DMA,Net migration,SM.POP.NETM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Denmark,DNK,Net migration,SM.POP.NETM,2256.0,21866.0,23256.0,14925.0,9319.0,32839.0,65466.0,74568.0,46306.0,87989.0,106841.0,75998.0,0.0
57,Dominican Republic,DOM,Net migration,SM.POP.NETM,-43490.0,-56172.0,-70824.0,-87098.0,-118102.0,-134470.0,-144154.0,-150146.0,-152553.0,-153773.0,-153010.0,-151333.0,0.0
58,Algeria,DZA,Net migration,SM.POP.NETM,-284266.0,-121335.0,-247822.0,-224833.0,-81020.0,-93302.0,-128679.0,-164413.0,-205228.0,-357340.0,-143268.0,-50002.0,0.0
