,Country,Country_Code,Indicator Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
70,Hungary, HUN,CORRUP.HOM,50,52,52,53,49,48,48,50,52,53,51,51,47,45.6,55,54,54,51,,,
71,Iceland, ISL,CORRUP.HOM,93,92,91,92,94,96,95,97,96,92,89,87,85,82.7,82,78,79,79,,,
72,India, IND,CORRUP.HOM,29,29,28,27,27,28,28,29,33,35,34,34,33,31,36,36,38,38,,,
73,Indonesia, IDN,CORRUP.HOM,20,17,17,19,19,19,20,22,24,23,26,28,28,30.3,32,32,34,36,,,
74,Iran, IRN,CORRUP.HOM,,,,,,30,29,29,27,25,23,18,22,27.2,28,25,27,27,,,
75,Iraq, IRQ,CORRUP.HOM,,,,,,22,21,22,19,15,13,15,15,18,18,16,16,16,,,
76,Ireland, IRL,CORRUP.HOM,82,77,72,75,69,75,75,74,74,75,77,80,80,75.4,69,72,74,75,,,
77,Israel, ISR,CORRUP.HOM,71,68,66,76,73,70,64,63,59,61,60,61,61,58.1,60,61,60,61,,,
78,Italy, ITA,CORRUP.HOM,46,47,46,55,52,53,48,50,49,52,48,43,39,39.1,42,43,43,44,,,
79,Ivory Coast, CIV,CORRUP.HOM,31,26,27,24,27,21,20,19,21,21,20,21,22,22.3,29,27,32,32,,,
80,Jamaica, JAM,CORRUP.HOM,38,38,,,40,38,33,36,37,33,31,30,33,33.4,38,38,38,41,,,
81,Japan, JPN,CORRUP.HOM,58,60,64,71,71,70,69,73,76,75,73,77,78,80.4,74,74,76,75,,,
82,Jordan, JOR,CORRUP.HOM,47,44,46,49,45,46,53,57,53,47,51,50,47,44.9,48,45,49,53,,,
83,Kazakhstan, KAZ,CORRUP.HOM,,23,30,27,23,24,22,26,26,21,22,27,29,26.9,28,26,29,28,,,
84,Kenya, KEN,CORRUP.HOM,25,20,21,20,19,19,21,21,22,21,21,22,21,22.4,27,27,25,25,,,
85,Kiribati, KIR,CORRUP.HOM,,,,,,,,,,33,31,28,32,30.8,-,-,-,-,,,
86,Kosovo, XKX,CORRUP.HOM,,,,,,,,,,,,,28,28.5,34,33,33,33,,,
87,Kuwait, KWT,CORRUP.HOM,,,,,,53,46,47,48,43,43,41,45,46.2,44,43,44,49,,,
88,Kyrgyzstan, KGZ,CORRUP.HOM,,22,,,,21,22,23,22,21,18,19,20,21.2,24,24,27,28,,,
89,Laos, LAO,CORRUP.HOM,,,,,,,,33,26,19,20,20,21,22.1,21,26,25,25,,,
90,Latvia, LVA,CORRUP.HOM,27,34,34,34,37,38,40,42,47,48,50,45,43,41.9,49,53,55,55,,,
91,Lebanon, LBN,CORRUP.HOM,,,,,,30,27,31,36,30,30,25,25,24.9,30,28,27,28,,,
92,Lesotho, LSO,CORRUP.HOM,,,,,,,,34,32,33,32,33,35,35.2,45,49,49,44,,,
93,Liberia, LBR,CORRUP.HOM,,,,,,,,22,,21,24,31,33,31.9,41,38,37,37,,,
94,Libya, LBY,CORRUP.HOM,,,,,,21,25,25,27,25,26,25,22,20.1,21,15,18,16,,,
95,Lithuania, LTU,CORRUP.HOM,,38,41,48,48,47,46,48,48,48,46,49,50,47.5,54,57,58,61,,,
96,Luxembourg, LUX,CORRUP.HOM,87,88,86,87,90,87,84,85,86,84,83,82,85,85.1,80,80,82,81,,,
97,Macau, MAC,CORRUP.HOM,,,,,,,,,66,57,54,53,50,51.1,-,-,-,-,,,
98,Macedonia, MKD,CORRUP.HOM,,33,,,,23,27,27,27,33,36,38,41,39.4,43,44,45,42,,,
99,Madagascar, MDG,CORRUP.HOM,,,,,17,26,31,28,31,32,34,30,26,30.4,32,28,28,28,,,
100,Malawi, MWI,CORRUP.HOM,41,41,41,32,29,28,28,28,27,27,28,33,34,30,37,37,33,31,,,
101,Malaysia, MYS,CORRUP.HOM,53,51,48,50,49,52,50,51,50,51,51,45,44,43.1,49,50,52,50,,,
102,Maldives, MDV,CORRUP.HOM,,,,,,,,,,33,28,25,23,24.7,-,-,-,-,,,
103,Mali, MLI,CORRUP.HOM,,,,,,30,32,29,28,27,31,28,27,27.6,34,28,32,35,,,
104,Malta, MLT,CORRUP.HOM,,,,,,,68,66,64,58,58,52,56,55.9,57,56,55,56,,,
105,Mauritania, MRT,CORRUP.HOM,,,,,,,,,31,26,28,25,23,24.3,31,30,30,31,,,
106,Mauritius, MUS,CORRUP.HOM,50,49,47,45,45,44,41,42,51,47,55,54,54,50.7,57,52,54,53,,,
107,Mexico, MEX,CORRUP.HOM,33,34,33,37,36,36,36,35,33,35,36,33,31,29.7,34,34,35,35,,,
108,Moldova, MDA,CORRUP.HOM,,26,26,31,21,24,23,29,32,28,29,33,29,28.8,36,35,35,33,,,
109,Mongolia, MNG,CORRUP.HOM,,43,,,,,30,30,28,30,30,27,27,26.8,36,38,39,39,,,
