,Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
37,Colombia,2.2,2.9,3.2,3.8,3.6,3.7,3.8,4,3.9,3.8,3.8,3.7,3.5,3.45,36,36,37,37
38,Comoros,-,-,-,-,-,-,-,-,-,2.6,2.5,2.3,2.1,2.41,28,28,26,26
39,Republic of the Congo,-,-,-,-,-,-,-,-,-,-,-,1.9,-,-,-,-,-,-
40,Republic of the Congo,-,-,-,-,-,-,-,-,-,-,-,-,2.1,-,-,-,-,-
41,Democratic Republic of the Congo,-,-,-,-,-,-,-,2.1,2,1.9,-,-,-,-,-,-,-,-
42,Democratic Republic of the Congo,-,-,-,-,-,-,2,-,-,-,1.7,-,-,-,-,-,-,-
43,Republic of the Congo,-,-,-,-,-,-,-,-,2.2,2.1,-,-,-,-,26,22,23,23
44,Republic of the Congo,-,-,-,-,-,-,-,-,-,-,-,-,-,2.15,-,-,-,-
45,Republic of the Congo,-,-,-,-,-,-,-,-,-,-,1.9,-,-,-,-,-,-,-
46,Republic of the Congo,-,-,-,-,-,-,-,2.3,-,-,-,-,-,-,-,-,-,-
47,Republic of the Congo,-,-,-,-,-,-,2.3,-,-,-,-,-,-,-,-,-,-,-
48,Republic of the Congo,-,-,-,-,-,2.2,-,-,-,-,-,-,-,-,-,-,-,-
49,Costa Rica,5.6,5.1,5.4,4.5,4.5,4.3,4.9,4.2,4.1,5,5.1,5.3,5.3,4.8,54,53,54,55
50,Cote d´Ivoire,-,-,-,2.4,-,-,2,-,-,-,-,-,-,-,-,-,-,-
51,Ivory Coast,-,-,-,-,2.7,2.1,-,1.9,-,2.1,-,-,-,-,-,-,-,-
52,Côte d´Ivoire,-,-,-,-,-,-,-,-,2.1,-,2,2.1,2.2,2.23,29,27,32,32
53,Côte-d'Ivoire,-,-,2.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,Croatia,-,2.7,3.7,3.9,3.8,3.7,3.5,3.4,3.4,4.1,4.4,4.1,4.1,4.03,46,48,48,51
55,Cuba,-,-,-,-,-,4.6,3.7,3.8,3.5,4.2,4.3,4.4,3.7,4.16,48,46,46,47
56,Cyprus,-,-,-,-,-,6.1,5.4,5.7,5.6,5.3,6.4,6.6,6.3,6.27,66,63,63,61
57,Czech Republic,4.8,4.6,4.3,3.9,3.7,3.9,4.2,4.3,4.8,-,5.2,4.9,4.6,4.37,49,48,51,56
58,Czech Republik,-,-,-,-,-,-,-,-,-,5.2,-,-,-,-,-,-,-,-
59,Democratic Republic of the Congo,-,-,-,-,-,-,-,-,-,-,-,1.9,2,-,-,-,-,-
60,Democratic Republic of the Congo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,22,22,22
61,Democratic Republic of the Congo,-,-,-,-,-,-,-,-,-,-,-,-,-,2.02,-,-,-,-
62,Denmark,10,10,9.8,9.5,9.5,9.5,9.5,9.5,9.5,9.4,9.3,9.3,9.3,9.39,90,91,92,91
63,Djibouti,-,-,-,-,-,-,-,-,-,2.9,3,2.8,3.2,2.98,36,36,34,34
64,Dominica,-,-,-,-,-,-,-,-,4.5,5.6,6,5.9,5.2,5.17,58,58,58,-
65,Dominican Republic,-,-,-,3.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,Dominican Republic,-,-,-,-,3.5,-,-,-,-,-,-,-,-,-,-,-,-,-
67,Dominican Republic,-,-,-,-,-,3.3,2.9,3,2.8,3,3,3,3,2.59,32,29,32,33
68,Ecuador,2.3,2.4,2.6,2.3,2.2,2.2,2.4,2.5,2.3,2.1,2,2.2,2.5,2.65,32,35,33,32
69,Egypt,2.9,3.3,3.1,3.6,3.4,3.3,3.2,3.4,3.3,2.9,2.8,2.8,3.1,2.86,32,32,37,36
70,El Salvador,3.6,3.9,4.1,3.6,3.4,3.7,4.2,4.2,4,4,3.9,3.4,3.6,3.42,38,38,39,39
71,Equatorial Guinea,-,-,-,-,-,-,-,1.9,2.1,1.9,1.7,1.8,1.9,1.91,20,19,-,-
72,Eritrea,-,-,-,-,-,-,2.6,2.6,2.9,2.8,2.6,2.6,2.6,2.48,25,20,18,18
73,Estonia,5.7,5.7,5.7,5.6,5.6,5.5,6,6.4,6.7,6.5,6.6,6.6,6.5,6.35,64,68,69,70
74,Ethiopia,-,-,3.2,-,3.5,2.5,2.3,2.2,2.4,2.4,2.6,2.7,2.7,2.69,33,33,33,33
75,Fiji,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-
76,Finland,9.6,9.8,10,9.9,9.7,9.7,9.7,9.6,9.6,9.4,9,8.9,9.2,9.4,90,89,89,90
77,France,6.7,6.6,6.7,6.7,6.3,6.9,7.1,7.5,7.4,7.3,6.9,6.9,6.8,7.01,71,71,69,70
78,FYR Macedonia,-,-,-,-,-,-,-,-,-,3.3,-,3.8,4.1,3.94,-,-,-,-
79,Gabon,-,-,-,-,-,-,3.3,2.9,3,3.3,3.1,2.9,2.8,2.98,35,34,37,34
80,Gambia,-,-,-,-,-,2.5,2.8,2.7,2.5,2.3,1.9,2.9,3.2,3.51,34,28,29,28
81,Georgia,-,2.3,-,-,2.4,1.8,2,2.3,2.8,3.4,3.9,4.1,3.8,4.13,52,49,52,52
82,Germany,7.9,8,7.6,7.4,7.3,7.7,8.2,8.2,8,7.8,7.9,8,7.9,8.05,79,78,79,81
83,Ghana,3.3,3.3,3.5,3.4,3.9,3.3,3.6,3.5,3.3,3.7,3.9,3.9,4.1,3.85,45,46,48,47
84,Greece,4.9,4.9,4.9,4.2,4.2,4.3,4.3,4.3,4.4,4.6,4.7,3.8,3.5,3.39,36,40,43,46
85,Grenada,-,-,-,-,-,-,-,-,3.5,3.4,-,-,-,-,-,-,-,-
86,Guatemala,3.1,3.2,-,2.9,2.5,2.4,2.2,2.5,2.6,2.8,3.1,3.4,3.2,2.73,33,29,32,28
87,Guinea,-,-,-,-,-,-,-,-,1.9,1.9,1.6,1.8,2,2.11,24,24,25,25
88,Guinea-Bissau,-,-,-,-,-,-,-,-,-,2.2,1.9,1.9,2.1,2.2,25,19,19,17
89,Guyana,-,-,-,-,-,-,-,2.5,2.5,2.6,2.6,2.6,2.7,2.49,28,27,30,29
90,Haiti,-,-,-,-,2.2,1.5,1.5,1.8,1.8,1.6,1.4,1.8,2.2,1.8,19,19,19,17
91,Honduras,1.7,1.8,-,2.7,2.7,2.3,2.3,2.6,2.5,2.5,2.6,2.5,2.4,2.59,28,26,29,31
92,Hong Kong,7.8,7.7,7.7,7.9,8.2,8,8,8.3,8.3,8.3,8.1,8.2,8.4,8.39,77,75,74,75
93,Hungary,5,5.2,5.2,5.3,4.9,4.8,4.8,5,5.2,5.3,5.1,5.1,4.7,4.56,55,54,54,51
94,Iceland,9.3,9.2,9.1,9.2,9.4,9.6,9.5,9.7,9.6,9.2,8.9,8.7,8.5,8.27,82,78,79,79
95,India,2.9,2.9,2.8,2.7,2.7,2.8,2.8,2.9,3.3,3.5,3.4,3.4,3.3,3.1,36,36,38,38
96,Indonesia,2,1.7,1.7,1.9,1.9,1.9,2,2.2,2.4,2.3,2.6,2.8,2.8,3.03,32,32,34,36
97,Iran,-,-,-,-,-,3,2.9,2.9,2.7,2.5,2.3,1.8,2.2,2.72,28,25,27,27
98,Iraq,-,-,-,-,-,2.2,2.1,2.2,1.9,1.5,1.3,1.5,1.5,1.8,18,16,16,16
99,Ireland,8.2,7.7,7.2,7.5,6.9,7.5,7.5,7.4,7.4,7.5,7.7,8,8,7.54,69,72,74,75
100,Israel,7.1,6.8,6.6,7.6,7.3,7,6.4,6.3,5.9,6.1,6,6.1,6.1,5.81,60,61,60,61
101,Italy,4.6,4.7,4.6,5.5,5.2,5.3,4.8,5,4.9,5.2,4.8,4.3,3.9,3.91,42,43,43,44
102,Ivory Coast,3.1,2.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103,Jamaica,3.8,3.8,-,-,4,3.8,3.3,3.6,3.7,3.3,3.1,3,3.3,3.34,38,38,38,41
104,Japan,5.8,6,6.4,7.1,7.1,7,6.9,7.3,7.6,7.5,7.3,7.7,7.8,8.04,74,74,76,75
105,Jordan,4.7,4.4,4.6,4.9,4.5,4.6,5.3,5.7,5.3,4.7,5.1,5,4.7,4.49,48,45,49,53
106,Kazakhstan,-,2.3,3,2.7,2.3,2.4,2.2,2.6,2.6,2.1,2.2,2.7,2.9,2.69,28,26,29,28
107,Kenya,2.5,2,2.1,2,1.9,1.9,2.1,2.1,2.2,2.1,2.1,2.2,2.1,2.24,27,27,25,25
108,Kiribati,-,-,-,-,-,-,-,-,-,3.3,3.1,2.8,3.2,3.08,-,-,-,-
109,Korea (North),-,-,-,-,-,-,-,-,-,-,-,-,-,1.01,8,8,8,8
110,Korea (South),-,-,-,-,-,-,-,-,-,-,-,5.5,5.4,5.36,56,55,55,56
111,Kosovo,-,-,-,-,-,-,-,-,-,-,-,-,2.8,2.85,34,33,33,33
112,Kuwait,-,-,-,-,-,5.3,4.6,4.7,4.8,-,4.3,4.1,4.5,4.62,44,43,44,49
113,Kuwait,-,-,-,-,-,-,-,-,-,4.3,-,-,-,-,-,-,-,-
114,Kyrgyz Republic,-,2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
115,Kyrgyzstan,-,-,-,-,-,2.1,2.2,2.3,2.2,2.1,1.8,1.9,2,2.12,24,24,27,28
116,Laos,-,-,-,-,-,-,-,3.3,2.6,1.9,2,2,2.1,2.21,21,26,25,25
117,Latvia,2.7,3.4,3.4,3.4,3.7,3.8,4,4.2,4.7,4.8,5,4.5,4.3,4.19,49,53,55,55
118,Lebanon,-,-,-,-,-,3,2.7,3.1,3.6,3,3,2.5,2.5,2.49,30,28,27,28
119,Lesotho,-,-,-,-,-,-,-,3.4,3.2,3.3,3.2,3.3,3.5,3.52,45,49,49,44
120,Liberia,-,-,-,-,-,-,-,2.2,-,2.1,2.4,3.1,3.3,3.19,41,38,37,37
121,Libya,-,-,-,-,-,2.1,2.5,2.5,2.7,2.5,2.6,2.5,2.2,2.01,21,15,18,16
122,Lithuania,-,3.8,4.1,4.8,4.8,4.7,4.6,4.8,4.8,4.8,4.6,4.9,5,4.75,54,57,58,61
123,Luxembourg,8.7,8.8,8.6,8.7,9,8.7,8.4,8.5,8.6,8.4,8.3,8.2,8.5,8.51,80,80,82,81
124,Macau,-,-,-,-,-,-,-,-,6.6,5.7,5.4,5.3,5,5.11,-,-,-,-
125,Macedonia,-,3.3,-,-,-,2.3,2.7,2.7,2.7,-,-,-,-,-,43,44,-,-
126,Macedonia,-,-,-,-,-,-,-,-,-,-,3.6,-,-,-,-,-,-,-
127,Madagascar,-,-,-,-,1.7,2.6,3.1,2.8,3.1,3.2,3.4,3,2.6,3.04,32,28,28,28
128,Malawi,4.1,4.1,4.1,3.2,2.9,2.8,2.8,2.8,2.7,2.7,2.8,3.3,3.4,3,37,37,33,31
129,Malaysia,5.3,5.1,4.8,5,4.9,5.2,5,5.1,5,5.1,5.1,4.5,4.4,4.31,49,50,52,50
130,Maldives,-,-,-,-,-,-,-,-,-,3.3,2.8,2.5,2.3,2.47,-,-,-,-
131,Mali,-,-,-,-,-,3,3.2,2.9,2.8,2.7,3.1,2.8,2.7,2.76,34,28,32,35
132,Malta,-,-,-,-,-,-,6.8,6.6,6.4,5.8,5.8,5.2,5.6,5.59,57,56,55,56
133,Mauritania,-,-,-,-,-,-,-,-,3.1,2.6,2.8,2.5,2.3,2.43,31,30,30,31
134,Mauritius,5,4.9,4.7,4.5,4.5,4.4,4.1,4.2,5.1,4.7,5.5,5.4,5.4,5.07,57,52,54,53
135,Mexico,3.3,3.4,3.3,3.7,3.6,3.6,3.6,3.5,3.3,3.5,3.6,3.3,3.1,2.97,34,34,35,35
136,Moldova,-,2.6,2.6,3.1,2.1,2.4,2.3,2.9,3.2,-,2.9,3.3,2.9,2.88,36,35,35,33
137,Moldovaa,-,-,-,-,-,-,-,-,-,2.8,-,-,-,-,-,-,-,-
138,Mongolia,-,4.3,-,-,-,-,3,3,2.8,3,3,2.7,2.7,2.68,36,38,39,39
139,Montenegro,-,-,-,-,-,-,-,-,-,3.3,3.4,3.9,3.7,3.97,41,44,42,44
140,Morocco,3.7,4.1,4.7,-,3.7,3.3,3.2,3.2,3.2,3.5,3.5,3.3,3.4,3.44,37,37,39,36
141,Mozambique,-,3.5,2.2,-,-,2.7,2.8,2.8,2.8,2.8,2.6,2.5,2.7,2.69,31,30,31,31
142,Myanmar,-,-,-,-,-,1.6,1.7,1.8,1.9,1.4,1.3,1.4,1.4,1.49,15,21,21,22
143,Namibia,5.3,5.3,5.4,5.4,5.7,4.7,4.1,4.3,4.1,4.5,4.5,4.5,4.4,4.43,48,48,49,53
144,Nepal,-,-,-,-,-,-,2.8,2.5,2.5,2.5,2.7,2.3,2.2,2.21,27,31,29,27
145,Netherlands,9,9,8.9,8.8,9,8.9,8.7,8.6,8.7,9,8.9,8.9,8.8,8.89,84,83,83,87
146,New Zealand,9.4,9.4,9.4,9.4,9.5,9.5,9.6,9.6,9.6,9.4,9.3,9.4,9.3,9.46,90,91,91,88
147,Nicaragua,3,3.1,-,2.4,2.5,2.6,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.53,29,28,28,27
148,Niger,-,-,-,-,-,-,2.2,2.4,2.3,2.6,2.8,2.9,2.6,2.54,33,34,35,34
149,Nigeria,1.9,1.6,1.2,1,1.6,1.4,1.6,1.9,2.2,2.2,2.7,2.5,2.4,2.45,27,25,27,26
150,Norway,9,8.9,9.1,8.6,8.5,8.8,8.9,8.9,8.8,8.7,7.9,8.6,8.6,8.99,85,86,86,87
151,Oman,-,-,-,-,-,6.3,6.1,6.3,5.4,4.7,5.5,5.5,5.3,4.83,47,47,45,45
152,Pakistan,2.7,2.2,-,2.3,2.6,2.5,2.1,2.1,2.2,2.4,2.5,2.4,2.3,2.47,27,28,29,30
153,Palestine,-,-,-,-,-,3,-,2.6,-,-,-,-,-,-,-,-,-,-
154,Palestinian Authority,-,-,-,-,-,-,2.5,-,-,-,-,-,-,-,-,-,-,-
155,Panama,-,-,-,3.7,3,3.4,3.7,3.5,3.1,3.2,3.4,3.4,3.6,3.27,38,35,37,39
156,Papua New Guinea,-,-,-,-,-,2.1,2.6,2.3,2.4,2,2,2.1,2.1,2.17,25,25,25,25
157,Paraguay,1.5,2,-,-,1.7,1.6,1.9,2.1,2.6,2.4,2.4,2.1,2.2,2.22,25,24,24,27
158,Peru,4.5,4.5,4.4,4.1,4,3.7,3.5,3.5,3.3,3.5,3.6,3.7,3.5,3.39,38,38,38,36
159,Philippines,3.3,3.6,2.8,2.9,2.6,2.5,2.6,2.5,2.5,2.5,2.3,2.4,2.4,2.64,34,36,38,35
160,Poland,4.6,4.2,4.1,4.1,4,3.6,3.5,3.4,3.7,4.2,4.6,5,5.3,5.48,58,60,61,62
161,Portugal,6.5,6.7,6.4,6.3,6.3,6.6,6.3,6.5,6.6,6.5,6.1,5.8,6,6.1,63,62,63,63
162,Puerto Rico,-,-,-,-,-,-,-,-,-,-,5.8,5.8,5.8,5.59,63,62,63,-
163,Qatar,-,-,-,-,-,5.6,5.2,5.9,6,6,6.5,7,7.7,7.16,68,68,69,71
164,Romania,3,3.3,2.9,2.8,2.6,2.8,2.9,3,3.1,3.7,3.8,3.8,3.7,3.61,44,43,43,46
165,Russia,2.4,2.4,2.1,2.3,2.7,2.7,2.8,2.4,2.5,2.3,2.1,2.2,2.1,2.45,28,28,27,29
166,Rwanda,-,-,-,-,-,-,-,3.1,2.5,2.8,3,3.3,4,4.98,53,53,49,54
167,Saint Lucia,-,-,-,-,-,-,-,-,-,6.8,7.1,7,-,7.02,71,71,-,-
168,Saint Vincent and the Grenadines,-,-,-,-,-,-,-,-,-,6.1,6.5,6.4,-,5.76,62,62,67,-
169,Samoa,-,-,-,-,-,-,-,-,-,4.5,4.4,4.5,4.1,3.88,-,-,52,-
170,Sao Tome and Principe,-,-,-,-,-,-,-,-,-,2.7,2.7,2.8,3,-,42,42,42,42
171,Sao Tome and Principe,-,-,-,-,-,-,-,-,-,-,-,-,-,2.99,-,-,-,-
172,Saudi Arabia,-,-,-,-,-,4.5,3.4,3.4,3.3,3.4,3.5,4.3,4.7,4.39,44,46,49,52
173,Senegal,3.3,3.4,3.5,2.9,3.1,3.2,3,3.2,3.3,3.6,3.4,3,2.9,2.87,36,41,43,44
174,Serbia,-,-,-,-,-,-,-,-,3,3.4,3.4,3.5,3.5,3.31,39,42,41,40
175,Serbia and Montenegro,-,-,-,-,-,-,2.7,2.8,-,-,-,-,-,-,-,-,-,-
176,Serbia and Montenegro,-,-,-,-,-,2.3,-,-,-,-,-,-,-,-,-,-,-,-
177,Seychelles,-,-,-,-,-,-,4.4,4,3.6,4.5,4.8,4.8,4.8,4.82,52,54,55,55
178,Sierra Leone,-,-,-,-,-,2.2,2.3,2.4,2.2,2.1,1.9,2.2,2.4,2.46,31,30,31,29
179,Singapore,9.1,9.1,9.1,9.2,9.3,9.4,9.3,9.4,9.4,9.3,9.2,9.2,9.3,9.17,87,86,84,85
180,Slovakia,-,-,-,-,-,3.7,4,4.3,4.7,4.9,5,4.5,4.3,3.97,46,47,50,51
181,Slovak Republic,3.9,3.7,3.5,3.7,3.7,-,-,-,-,-,-,-,-,-,-,-,-,-
182,Slovenia,-,6,5.5,5.2,6,5.9,6,6.1,6.4,6.6,6.7,6.6,6.4,5.87,61,57,58,60
183,Solomon Islands,-,-,-,-,-,-,-,-,-,2.8,2.9,2.8,2.8,2.71,-,-,-,-
184,Somalia,-,-,-,-,-,-,-,2.1,-,1.4,1,1.1,1.1,0.98,8,8,8,8
185,South Africa,5.2,5,5,4.8,4.8,4.4,4.6,4.5,4.6,5.1,4.9,4.7,4.5,4.08,43,42,44,44
186,South Korea,4.2,3.8,4,4.2,4.5,4.3,4.5,5,5.1,5.1,5.6,-,-,-,-,-,-,-
187,South Sudan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,15,15
188,Spain,6.1,6.6,7,7,7.1,6.9,7.1,7,6.8,6.7,6.5,6.1,6.1,6.23,65,59,60,58
189,Sri Lanka,-,-,-,-,3.7,3.4,3.5,3.2,3.1,3.2,3.2,3.1,3.2,3.3,40,37,38,37
190,Sudan,-,-,-,-,-,2.3,2.2,2.1,2,1.8,1.6,1.5,1.6,1.56,13,11,11,12
191,Suriname,-,-,-,-,-,-,4.3,3.2,3,3.5,3.6,3.7,-,3.03,37,36,36,36
192,Swaziland,-,-,-,-,-,-,-,2.7,2.5,3.3,3.6,3.6,3.2,3.08,37,39,43,-
193,Sweden,9.5,9.4,9.4,9,9.3,9.3,9.2,9.2,9.2,9.3,9.3,9.2,9.2,9.3,88,89,87,89
194,Switzerland,8.9,8.9,8.6,8.4,8.5,8.8,9.1,9.1,9.1,9,9,9,8.7,8.8,86,85,86,86
195,Syria,-,-,-,-,-,3.4,3.4,3.4,2.9,2.4,2.1,2.6,2.5,2.56,26,17,20,18
196,Taijikistan,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-
197,Taiwan,5.3,5.6,5.5,5.9,5.6,5.7,5.6,5.9,5.9,5.7,5.7,5.6,5.8,6.14,61,61,61,62
198,Tajikistan,-,-,-,-,-,1.8,2,2.1,2.2,2.1,-,2,2.1,2.27,22,22,23,26
199,Tanzania,1.9,1.9,2.5,2.2,2.7,2.5,2.8,2.9,2.9,3.2,3,2.6,2.7,2.95,35,33,31,30
200,Thailand,3,3.2,3.2,3.2,3.2,3.3,3.6,3.8,3.6,3.3,3.5,3.4,3.5,3.38,37,35,38,38
201,The FYR of Macedonia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,42
202,The United States Of America,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76
203,Timor-Leste,-,-,-,-,-,-,-,-,2.6,2.6,2.2,2.2,2.5,2.38,33,30,28,28
204,Togo,-,-,-,-,-,-,-,-,2.4,2.3,2.7,2.8,2.4,2.38,30,29,29,32
205,Tonga,-,-,-,-,-,-,-,-,-,1.7,2.4,3,3,3.14,-,-,-,-
206,Trinidad and Tobago,-,-,-,-,-,4.6,4.2,3.8,3.2,3.4,3.6,3.6,3.6,3.17,39,38,38,39
207,Trinidad and Tobago,-,-,-,5.3,4.9,-,-,-,-,-,-,-,-,-,-,-,-,-
208,Tunisia,5,5,5.2,5.3,4.8,4.9,5,4.9,4.6,4.2,4.4,4.2,4.3,3.76,41,41,40,38
209,Turkey,3.4,3.6,3.8,3.6,3.2,3.1,3.2,3.5,3.8,4.1,4.6,4.4,4.4,4.21,49,50,45,42
210,Turkmenistan,-,-,-,-,-,-,2,1.8,2.2,2,1.8,1.8,1.6,1.6,17,17,17,18
211,Uganda,2.6,2.2,2.3,1.9,2.1,2.2,2.6,2.5,2.7,2.8,2.6,2.5,2.5,2.43,29,26,26,25
212,Ukraine,2.8,2.6,1.5,2.1,2.4,2.3,2.2,2.6,2.8,2.7,2.5,2.2,2.4,2.3,26,25,26,27
213,United Arab Emirates,-,-,-,-,-,5.2,6.1,6.2,6.2,5.7,5.9,6.5,6.3,6.82,68,69,70,70
214,United Kingdom,8.7,8.6,8.7,8.3,8.7,8.7,8.6,8.6,8.6,8.4,7.7,7.7,7.6,7.78,74,76,78,81
215,United States,7.5,-,-,-,-,-,-,-,-,-,-,7.5,7.1,7.14,73,73,74,-
216,Uruguay,4.3,4.4,-,5.1,5.1,5.5,6.2,5.9,6.4,6.7,6.9,6.7,6.9,7.04,72,73,73,74
217,USA,-,7.5,7.8,7.6,7.7,7.5,7.5,7.6,7.3,7.2,7.3,-,-,-,-,-,-,-
218,Uzbekistan,-,1.8,2.4,2.7,2.9,2.4,2.3,2.2,2.1,1.7,1.8,1.7,1.6,1.62,17,17,18,19
219,Vanuatu,-,-,-,-,-,-,-,-,-,3.1,2.9,3.2,3.6,3.53,-,-,-,-
220,Venezuela,2.3,2.6,2.7,2.8,2.5,2.4,2.3,2.3,2.3,2,1.9,1.9,2,1.89,19,20,19,17
221,Vietnam,2.5,2.6,2.5,2.6,2.4,2.4,2.6,2.6,-,-,-,2.7,2.7,2.86,31,31,31,31
222,Viet Nam,-,-,-,-,-,-,-,-,2.6,2.6,2.7,-,-,-,-,-,-,-
223,Yemen,-,-,-,-,-,2.6,2.4,2.7,2.6,2.5,2.3,2.1,2.2,2.08,23,18,19,18
224,Yugoslavia,3,2,1.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
225,Zambia,3.5,3.5,3.4,2.6,2.6,2.5,2.6,2.6,2.6,2.6,2.8,3,3,3.2,37,38,38,38
226,Zimbabwe,4.2,4.1,3,2.9,2.7,2.3,2.3,2.6,2.4,2.1,1.8,2.2,2.4,2.23,20,21,21,21
