,Entity,Code,Year,Share of population covered by health insurance (ILO (2014)) (%)
141,Taiwan,TWN,2010,99.6
142,Tajikistan,TJK,2010,0.3
143,Tanzania,TZA,2010,13.0
144,Thailand,THA,2007,98.0
145,Togo,TGO,2010,4.0
146,Tunisia,TUN,2005,80.0
147,Turkey,TUR,2011,86.0
148,Turkmenistan,TKM,2010,82.3
149,Uganda,UGA,2008,2.0
150,Ukraine,UKR,2011,100.0
151,United Arab Emirates,ARE,2011,100.0
152,United Kingdom,GBR,2010,100.0
153,United States,USA,2010,84.0
154,Uruguay,URY,2010,97.2
155,Uzbekistan,UZB,2010,100.0
156,Vanuatu,VUT,2010,100.0
157,Venezuela,VEN,2010,100.0
158,Vietnam,VNM,2010,61.0
159,Yemen,YEM,2003,42.0
160,Zambia,ZMB,2008,8.4
161,Zimbabwe,ZWE,2009,1.0
